#####################################################
#													#
# 			AdvLeon's Coronation Events				#
#													#
#####################################################

#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

loka_coronation_decision;Coronation of the High King;;;;;;;;;;;;;x
loka_coronation_decision_desc;My influence over the Isles is unquestionable, it may now be time to officially declare myself High King of the British Isles. I will need religious legitimacy, the Archbishop of Canterbury will surely be willing to bless my Coronation.;;;;;;;;;;;;;x

# Send out Coronation Invites #

# Received Coronation Invitation #

# The Coronation Pt.1 #

loka_coronation.desc.5;The Oath is as follows:
I will protect my people;;;;;;;;;;;;;x

# The Coronation Pt.2 #

loka_coronation.desc.7;The Oath is as follows:
I will protect my people
I will uphold our laws;;;;;;;;;;;;;x

# The Coronation Pt.3 #

loka_coronation.desc.9;The Oath is as follows:
I will protect my people
I will uphold our laws
I will rule justly;;;;;;;;;;;;;x
