#########################################################################
#																		#
# 			LEGACY OF KING ARTHUR CULTURAL CONVERSION EVENTS			#
#																		#
#########################################################################

# Written by - Spykadelic & AdvLeon #

# CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x #

=========================================================================
# Miscellaneous #

brittonic;Brittonic;;;;;;;;;;;;;x

=========================================================================
# Event 1 - The Brittonic Melting Pot #

loka_culture.title.1;TITLE PLACEHOLDER;;;;;;;;;;;;;x

loka_culture.description.1;DESCRIPTION PLACEHOLDER;;;;;;;;;;;;;x

loka_culture.option.a.1;OPTION A PLACEHOLDER;;;;;;;;;;;;;x

loka_culture.option.b.1;OPTION B PLACEHOLDER;;;;;;;;;;;;;x

=========================================================================
# Event 2 - It's spreading #

loka_culture.description.2;DESCRIPTION PLACEHOLDER;;;;;;;;;;;;;x

loka_culture.option.a.2;OPTION A PLACEHOLDER;;;;;;;;;;;;;x

=========================================================================
# Event 3 - Teach my child Brittonic #

loka_culture.description.3;DESCRIPTION PLACEHOLDER;;;;;;;;;;;;;x

loka_culture.option.a.3;OPTION A PLACEHOLDER;;;;;;;;;;;;;x

loka_culture.option.b.3;OPTION B PLACEHOLDER;;;;;;;;;;;;;x

=========================================================================
# Event 4 - Make my court speak Brittonic #

loka_culture.description.4;DESCRIPTION PLACEHOLDER;;;;;;;;;;;;;x

loka_culture.option.a.4;OPTION A PLACEHOLDER;;;;;;;;;;;;;x

loka_culture.option.b.4;OPTION B PLACEHOLDER;;;;;;;;;;;;;x

=========================================================================
# Event 5 - Make my vassal speak Brittonic #

loka_culture.description.5;DESCRIPTION PLACEHOLDER;;;;;;;;;;;;;x

loka_culture.option.a.5;OPTION A PLACEHOLDER;;;;;;;;;;;;;x

loka_culture.option.b.5;OPTION B PLACEHOLDER;;;;;;;;;;;;;x

=========================================================================
# Event 6 - Asked to adopt Brittonic language #

loka_culture.description.6;DESCRIPTION PLACEHOLDER;;;;;;;;;;;;;x

loka_culture.option.a.6;OPTION A PLACEHOLDER;;;;;;;;;;;;;x

=========================================================================
# Event 7 - A ruler is assimilated by the local Brittonic culture #

loka_culture.description.7;DESCRIPTION PLACEHOLDER;;;;;;;;;;;;;x

loka_culture.option.a.7;OPTION A PLACEHOLDER;;;;;;;;;;;;;x

loka_culture.option.b.7;OPTION B PLACEHOLDER;;;;;;;;;;;;;x

=========================================================================
# Event 8 - Adopted foreign ways scandal #

loka_culture.description.8;DESCRIPTION PLACEHOLDER;;;;;;;;;;;;;x

loka_culture.option.a.8;OPTION A PLACEHOLDER;;;;;;;;;;;;;x
