#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#### Event 1 - Message about the Lady of the Lake ####

loka_excalibur.title.1;The Tale of the Lady;;;;;;;;;;;;;x

loka_excalibur.description.1;While feasting in your hold one night, you are approached by an old priest. His robes are worn & muddied from travel, his hair wild & eyes gaunt. When he speaks you hear a tremor in his voice.
"My King, I have travelled far, across hard roads to find you. Whilst deep in prayer one night I was blessed with a vision. I found myself wandering the edge of a lake, where, I do not know. I could see a ruined watchtower in the distance atop a mighty hill. It was then that, from the lake, emerged the Lady, beautiful yet terrifying. I fell to my knees in her presence. In her hands she held a sword, as I gazed upon it a name filled my mind, yours. The Lady is waiting for you, all you need do is find her.";;;;;;;;;;;;;x

loka_excalibur.option.a.1;I trust in his conviction, I will search for The Lady!;;;;;;;;;;;;;x

loka_excalibur.option.b.1;Guards! Remove this man, I will hear no more of his dreams!;;;;;;;;;;;;;x


#### Event 2 - Planning to find Camelot ####

loka_excalibur.description.2;The words of the Priest have been ever in your mind this past week, their vagueness a constant frustration. Then one day, as you wander the grounds, you overhear a mother telling a story to her children. It is the tale of King Arthur, you listen for a while remembering the tale well from when you were young. Suddenly, your eyes widen as you realise that this is what the Priest spoke of, the Lady, the sword, the ruins, it all fits. Your mind all a flurry, you race to your quarters.;;;;;;;;;;;;;x 

loka_excalibur.option.a.2;I must find Camelot!;;;;;;;;;;;;;x

loka_excalibur.misc.2;[This.GetFirstName] went on a great adventure to search for Camelot.;;;;;;;;;;;;;x


#### Event 3 - Setting out for Camelot ####

loka_excalibur.description.3;Your bags are packed and your horse saddled. You scour your chambers one last time before departing. As you head to the stables, you pass your advisors already attending to business in your stead. The early morning sun falls gently on you and a light breeze caresses your face, a good day to ride. You know not where your search will take you or what challenges await, but as you settle into the saddle your confidence is high. As you set off, you glance back briefly...;;;;;;;;;;;;;x

loka_excalibur.option.a.3;And so, my journey begins...;;;;;;;;;;;;;x

loka_excalibur.option.b.3;What am I doing?! This is a fool's errand.;;;;;;;;;;;;;x


#### Event 4 - Finding Camelot Pt 1 ####

loka_excalibur.title.401;Tired, Troubled Thoughts;;;;;;;;;;;;;x

loka_excalibur.description.401;For many months you have wandered the length & breadth of the land in search of Camelot. Your adventures thus far already make for a grand tale, however, your prize still eludes you. Each night, as you rest by the fire, you pour over the books & papers you brought with you looking for any clue, any lead to follow.
The maps you have collected on your journey have become worn from constant use. Your pack has grown light and your purse empty, you know you cannot continue the search for much longer. You followed the star, this is where is led you, isn't it? Were you a fool for believing yourself to be worthy?
Your doubts haunt you as you slip into an uneasy sleep.;;;;;;;;;;;;;x

loka_excalibur.option.a.401;This will be a long night...;;;;;;;;;;;;;x


#### Event 4 - Finding Camelot Pt 2 ####

loka_excalibur.title.402;A Song on the Wind;;;;;;;;;;;;;x

loka_excalibur.description.402;You wake suddenly, the cold night air stinging your face, the oppressive darkness pressing in on you, only held back by the fire gently crackling away nearby. You are about to return to your slumber when you hear it. A faint sound carries to you on the breeze, an unearthly melody, as you listen your mind is awash with emotions. It is a beautiful feeling.
Pulling yourself from your bedding you head towards the music, stopping only to light a torch. The ground beneath your feet is thick with leaves which rustle noisily with each step you take, branches appear from the darkness to claw at your head and the night wind continues to howl. Still, you press on, deeper into the forest.;;;;;;;;;;;;;x

loka_excalibur.option.a.402;Where is it coming from?;;;;;;;;;;;;;x


#### Event 4 - Finding Camelot Pt 3 ####

loka_excalibur.title.403;In Darkness, a Light;;;;;;;;;;;;;x

loka_excalibur.description.403;Suddenly, your foot slips, losing its grip on the wet, muddy ground. Your torch falls from your hand, immediately extinguishing as it hits the ground. The darkness rushes in, like a beast jumping its prey, as you scramble to regain your footing. Alone in the dark, your breathing harsh and ragged, you try to work out your way back to camp. That is when you see it, a light, a gentle glow between the trees not far ahead of you.
